Date,Open,High,Low,Close,Adj Close,Volume
2017-01-03,172.800003,173.000000,167.000000,167.000000,167.000000,925
2017-01-04,165.399994,165.399994,157.199997,158.399994,158.399994,2945
2017-01-05,160.000000,162.800003,158.000000,158.000000,158.000000,1420
2017-01-06,156.199997,157.399994,152.600006,156.000000,156.000000,1020
2017-01-09,156.600006,157.600006,153.399994,154.800003,154.800003,690
2017-01-10,154.000000,155.399994,152.399994,154.199997,154.199997,765
2017-01-11,154.399994,156.800003,150.399994,151.000000,151.000000,3195
2017-01-12,153.000000,162.199997,150.800003,150.800003,150.800003,3500
2017-01-13,150.399994,152.199997,149.600006,151.600006,151.600006,755
2017-01-16,151.800003,153.600006,151.800003,153.000000,153.000000,315
2017-01-17,153.600006,153.600006,150.000000,150.600006,150.600006,1595
2017-01-18,150.000000,150.199997,148.000000,148.800003,148.800003,455
2017-01-19,149.000000,152.800003,149.000000,151.600006,151.600006,1150
2017-01-20,150.399994,150.399994,146.000000,146.399994,146.399994,3285
2017-01-23,146.000000,148.800003,144.399994,145.000000,145.000000,1830
2017-01-24,142.800003,142.800003,137.000000,137.000000,137.000000,1770
2017-01-25,135.000000,136.199997,134.199997,134.800003,134.800003,2120
2017-01-26,135.000000,137.000000,134.000000,135.600006,135.600006,2350
2017-01-27,134.600006,135.399994,133.199997,133.800003,133.800003,1640
2017-01-30,136.800003,143.199997,136.600006,136.600006,136.600006,5580
2017-01-31,138.800003,141.000000,136.800003,137.000000,137.000000,1955
2017-02-01,133.600006,136.000000,133.000000,134.199997,134.199997,2150
2017-02-02,135.600006,136.000000,134.600006,135.600006,135.600006,855
2017-02-03,133.000000,133.199997,131.600006,132.600006,132.600006,2315
2017-02-06,134.199997,134.199997,132.399994,133.199997,133.199997,1345
2017-02-07,132.800003,133.600006,132.600006,133.399994,133.399994,1015
2017-02-08,134.199997,135.399994,132.800003,132.800003,132.800003,805
2017-02-09,132.600006,132.600006,129.399994,130.399994,130.399994,1610
2017-02-10,129.199997,129.199997,127.199997,128.600006,128.600006,1645
2017-02-13,126.199997,126.800003,123.599998,124.400002,124.400002,2515
2017-02-14,123.800003,123.800003,118.800003,119.000000,119.000000,900
2017-02-15,118.199997,122.599998,118.199997,122.599998,122.599998,2195
2017-02-16,122.599998,129.399994,122.599998,123.599998,123.599998,1720
2017-02-17,125.800003,127.000000,123.400002,124.000000,124.000000,1385
2017-02-21,121.800003,125.199997,121.800003,125.000000,125.000000,485
2017-02-22,126.000000,127.599998,125.000000,125.199997,125.199997,715
2017-02-23,127.800003,129.800003,127.400002,129.600006,129.600006,1210
2017-02-24,133.600006,134.000000,128.199997,129.000000,129.000000,2005
2017-02-27,127.800003,127.800003,124.000000,126.400002,126.400002,340
2017-02-28,127.800003,130.800003,127.199997,129.800003,129.800003,655
2017-03-01,124.599998,127.000000,123.599998,127.000000,127.000000,1440
2017-03-02,127.800003,127.800003,125.800003,127.599998,127.599998,580
2017-03-03,126.000000,126.000000,123.599998,123.599998,123.599998,505
2017-03-06,123.199997,123.599998,121.000000,121.000000,121.000000,1100
2017-03-07,121.599998,122.000000,119.400002,120.400002,120.400002,485
2017-03-08,120.000000,122.599998,119.000000,122.199997,122.199997,1520
2017-03-09,120.800003,122.400002,120.800003,121.000000,121.000000,295
2017-03-10,120.599998,121.199997,119.800003,120.000000,120.000000,735
2017-03-13,119.599998,119.599998,117.199997,117.199997,117.199997,535
2017-03-14,118.000000,119.599998,118.000000,119.599998,119.599998,595
2017-03-15,118.199997,118.199997,114.400002,114.800003,114.800003,1450
2017-03-16,114.000000,114.000000,112.199997,113.199997,113.199997,365
2017-03-17,111.400002,112.000000,109.599998,110.400002,110.400002,555
2017-03-20,111.000000,111.000000,109.800003,111.000000,111.000000,230
2017-03-21,109.400002,116.400002,108.800003,115.599998,115.599998,2125
2017-03-22,117.000000,118.000000,115.000000,116.199997,116.199997,1870
2017-03-23,117.199997,120.800003,115.400002,120.800003,120.800003,1135
2017-03-24,118.199997,123.199997,116.199997,117.800003,117.800003,2255
2017-03-27,122.599998,123.599998,115.000000,115.800003,115.800003,4205
2017-03-28,114.000000,114.000000,109.199997,109.199997,109.199997,1170
